Nome,Data,Hora,Endereço,Link
"BABADAN BANDA DE RUA",28/01/2024,11:00,"PRACA QUINZE DE JUNHO, 23, Bonfim","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/babadan-banda-de-rua-16259"
"BLOCO AFRO FILHOS DAS ÁGUAS",28/01/2024,11:00,"RUA ITARARE, 522, Concórdia","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-afro-filhos-das-aguas"
"BLOCO PÉ COM PÉ",28/01/2024,12:00,"PRACA DA COMUNIDADE, 90, Dom Cabral","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-pe-com-pe"
"BLOCO ENTRE AMIGOS E MIRAGO",28/01/2024,12:00,"RUA CAPIM BRANCO, 450, Vista Alegre","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-entre-amigos-e-mirago"
"ALEGRIA ALEGRIA",28/01/2024,12:00,"PRACA DA BANDEIRA, 166, Cruzeiro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/alegria-alegria-16193"
"BLOCO MENINOS DO MORRO",28/01/2024,12:30,"RUA FAGUNDES VARELA, 98, Lagoinha","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-meninos-do-morro"
"BLOCO CHEIA DE MANIAS",28/01/2024,12:30,"RUA GUANABARA, 354, Concórdia","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-cheia-de-manias"
"CARNA ROCK SK8",28/01/2024,13:00,"RUA BRAGANCA, 8, Coqueiros","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/carna-rock-sk8"
"KIKO LINDO, O BLOCO",28/01/2024,14:00,"RUA JOSE BENJAMIM DE CASTRO, 58, Campo Alegre","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/kiko-lindo-o-bloco"
"PATANGOME MARACARTE E BLOCO MARACARTE",28/01/2024,14:00,"AVENIDA AUGUSTO DE LIMA, 1913, Barro Preto","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/patangome-maracarte-e-bloco-maracarte"
"DUBAI DAS INDUSTRIAS",28/01/2024,14:00,"RUA JUIZ ELYZEU JARDIM, 177, Bairro das Indústrias I","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/dubai-das-industrias-16312"
